system,sid,user,intent_NLU,intent_ASU,intent_DAC,entities,sys_intent,system_utt,info
EXP-RANK,30012441,what type of food does it serve,-,request,IRq,"{'name': 'Il Panzarotto', 'food': 'Italian and European'}",answer,Il Panzarotto is a restaurant that serves Italian and European food.,-
EXP-RANK,30012441,next option,next,-,O,"{'pricerange': 'cheap', 'area': 'south', 'name': 'Arts Picturehouse'}",inform,Arts Picturehouse is a cheap restaurant in the south area. south.,['south']
EXP-RANK,30012441,what type of food does it serve,-,request,IRq,"{'name': 'Arts Picturehouse', 'food': 'Pizza and Pub'}",answer,Arts Picturehouse is a restaurant that serves Pizza and Pub food.,-
EXP-RANK,30012441,what is the address,-,request,IRq,"{'name': 'Arts Picturehouse', 'addr': ""Saint Andrew's Street""}",answer,The address of Arts Picturehouse is Saint Andrew's Street.,-
EXP-RANK,30012441,"great, i think i'll eat there",-,-,SQ,"{'pricerange': 'cheap', 'area': 'south', 'name': 'Vanderlyle'}",inform,Vanderlyle is a cheap restaurant in the south area. Dinner. You can type 'next option' or another query.,['Dinner']
EXP-RANK,30012441,i got what i wanted.  thanks,thanking,-,O,{},acceptThanking,You're welcome.,-
EXP-RANK,30012441,goodbye,initialGoodbye,-,O,{},returnGoodbye,Have a nice day.,-
EXP-RANK,30012441,<hangup>,hangup,-,-,-,returnGoodbye,<hangup>,-
EXP-RANK,44932443,i'd like a cheap pho restaurant,-,inform,SQ,"{'pricerange': 'cheap', 'name': 'Varsity'}",inform,Varsity is a cheap restaurant. This was a little gem that was hidden amongst rather tacky restaurants/bars near the near The Arts Picture House. What a lovely surprise to have such a pleasant meal from their pre-theatre menu! You can type 'next option' or another query.,['This was a little gem that was hidden amongst rather tacky restaurants/bars near the near The Arts Picture House. What a lovely surprise to have such a pleasant meal from their pre-theatre menu! Very reasonably priced as well! Such polite and friendly staff. This is well worth a visit.']
EXP-RANK,44932443,what kind of food,-,request,IRq,"{'name': 'Varsity', 'food': 'British and European'}",answer,Varsity is a restaurant serving British and European food.,-
EXP-RANK,44932443,next option,next,-,O,"{'pricerange': 'cheap', 'name': 'Nivedyam'}",inform,"Nivedyam is a restaurant that is cheap. A nice resturant which serves good Mallu food(the cuisine from kerala, India). Could have been a little more generous on quantity, but the overall experience was not bad.","['A nice resturant which serves good Mallu food(the cuisine from kerala, India). Could have been a little more generous on quantity, but the overall experience was not bad.']"
EXP-RANK,44932443,next option,next,-,O,"{'pricerange': 'cheap', 'name': 'Pho'}",inform,"Pho is a restaurant in the cheap price range. Stumbled across this restaurant and decided to give it a try. Although the service was a little slow, the food was beautiful, vibrant and fresh. Definitely recommended although don't wear your best top!","[""Stumbled across this restaurant and decided to give it a try. Although the service was a little slow, the food was beautiful, vibrant and fresh. Definitely recommended although don't wear your best top!!!""]"
EXP-RANK,44932443,what is the address,-,request,IRq,"{'name': 'Pho', 'addr': '1 Wheeler Street'}",answer,The address of Pho is 1 Wheeler Street.,-
EXP-RANK,44932443,<hangup>,hangup,-,-,-,answer,<hangup>,-
EXP-RANK,33552444,i've got a really hot date who's chinese.  what chinese restaurants do you recommend,-,inform,SQ,"{'food': 'chinese', 'name': 'Seven Days'}",inform,Seven Days is a restaurant that serves chinese food. I write this review from a perspective of a real Chinese. My friend recommended this restaurant to me and I heard this is one of the best Chinese restaurant in Cambridge. You can type 'next option' or another query.,['I write this review from a perspective of a real Chinese. My friend recommended this restaurant to me and I heard this is one of the best Chinese restaurant in Cambridge. So I had very high expectation when I sat by the table.']
EXP-RANK,33552444,how expensive is it,-,request,IRq,"{'name': 'Seven Days', 'pricerange': 'expensive'}",answer,Seven Days is an expensive restaurant.,-
EXP-RANK,33552444,next option,next,-,O,"{'food': 'chinese', 'name': 'Yim Wah Express'}",inform,"Yim Wah Express is a restaurant that serves chinese food. If you like Chinese food, you will love Yim Wah express. Perfect for an evening with the family or a romantic night with your special someone.","['If you like Chinese food, you will love Yim Wah express. Perfect for an evening with the family or a romantic night with your special someone.']"
EXP-RANK,33552444,how expensive is it,-,request,IRq,"{'name': 'Yim Wah Express', 'pricerange': 'expensive'}",answer,Yim Wah Express is a restaurant in the expensive price range.,-
EXP-RANK,33552444,is there a cheap chinese restaurant?  she's not that hot,-,"('inform', 'inform')",SQ,"{'food': 'chinese', 'pricerange': 'cheap', 'name': 'The Dumpling Tree Bar & Restaurant'}",inform,The Dumpling Tree Bar & Restaurant is a cheap restaurant that serves chinese food. It isn't often that you find an ethnic restaurant that is very good and provides the food that is eaten at it's origins. You can type 'next option' or another query.,"[""It isn't often that you find an ethnic restaurant that is very good and provides the food that is eaten at it's origins.""]"
EXP-RANK,33552444,what part of town is dumpling tree bar & restaurant in,-,request,SQ,"{'name': 'The Dumpling Tree Bar & Restaurant', 'area': 'centre'}",answer,The Dumpling Tree Bar & Restaurant is a restaurant that is in the centre area.,-
EXP-RANK,33552444,good.  what is its address,-,request,IRq,"{'name': 'The Dumpling Tree Bar & Restaurant', 'addr': '59 Perne Road'}",answer,The address of The Dumpling Tree Bar & Restaurant is 59 Perne Road.,-
EXP-RANK,33552444,thank you.  goodbye,initialGoodbye,-,O,{},returnGoodbye,Have a nice day.,-
EXP-RANK,33552444,<hangup>,hangup,-,-,-,returnGoodbye,<hangup>,-
EXP-RANK,41842445,find me an indian buffet restaurant,-,inform,SQ,"{'food': 'indian', 'name': 'Pipasha Restaurant'}",inform,Pipasha Restaurant is a restaurant serving indian food. Perfect indian (Bangladeshi style) restaurant. You can type 'next option' or another query.,['Perfect indian (Bangladeshi style) restaurant.']
EXP-RANK,41842445,what is the price range,-,request,IRq,"{'name': 'Pipasha Restaurant', 'pricerange': 'expensive'}",answer,Pipasha Restaurant is an expensive restaurant.,-
EXP-RANK,41842445,does it have a lunch buffet,-,request,IRq,"{'name': 'Pipasha Restaurant', 'food': 'Indian and Bangladeshi'}",answer,Pipasha Restaurant is a restaurant serving Indian and Bangladeshi food.,-
EXP-RANK,41842445,what is a good thai restaurant,-,inform,SQ,"{'food': 'thai', 'name': 'Sala Thong Restaurant'}",inform,Sala Thong Restaurant is a restaurant that serves thai food. Great Thai food! You can type 'next option' or another query.,['Great Thai food!']
EXP-RANK,41842445,what is the lunch prices,-,request,IRq,"{'name': 'Sala Thong Restaurant', 'pricerange': 'expensive'}",answer,Sala Thong Restaurant is a restaurant that is expensive.,-
EXP-RANK,41842445,give me a middle eastern restaurant,-,inform,SQ,"{'food': 'middle eastern', 'name': 'Efes Restaurant'}",inform,"Efes Restaurant is a restaurant serving middle eastern food. Mediterranean, Turkish, Middle Eastern. You can type 'next option' or another query.","['Mediterranean, Turkish, Middle Eastern']"
EXP-RANK,41842445,what are the dinner prices,-,request,IRq,"{'name': 'Efes Restaurant', 'pricerange': 'expensive'}",answer,Efes Restaurant is a restaurant in the expensive price range.,-
EXP-RANK,41842445,<hangup>,hangup,-,-,-,answer,<hangup>,-
EXP-RANK,51292461,i'd like an italian restaurant that's good for a first date,-,inform,SQ,"{'food': 'italian', 'name': ""Gattuso's Trattoria Pizzeria""}",inform,"Gattuso's Trattoria Pizzeria is a restaurant that serves italian food. Two of us visited this newish Italian restaurant, where alimentum used to be. You can type 'next option' or another query.","['Two of us visited this newish Italian restaurant, where alimentum used to be.']"
EXP-RANK,51292461,is there a place like that that specializes in pizza,-,-,SQ,"{'food': 'italian', 'name': 'Franco Manca Cambridge'}",inform,Franco Manca Cambridge is a restaurant serving italian food. If you like pizza you should go here. You can type 'next option' or another query.,['If you like pizza you should go here.']
EXP-RANK,51292461,does anywhere make its own fresh pasta,-,-,IRq,{},autoNegative,"Sorry, I don't know how to answer this question.",-
EXP-RANK,51292461,next option,next,-,O,"{'food': 'italian', 'name': 'Pizza Express'}",inform,"Pizza Express is a restaurant serving italian food. There is more than one Pizza Express in Cambridge, this review is specifically about the Pizza Express in Jesus Lane.","['There is more than one Pizza Express in Cambridge, this review is specifically about the Pizza Express in Jesus Lane.']"
EXP-RANK,51292461,how much does a meal at franco manca cost,-,request,IRq,"{'name': 'Pizza Express', 'pricerange': 'expensive'}",answer,Pizza Express is a restaurant in the expensive price range.,-
EXP-RANK,51292461,what about franco manca,-,-,IRq,{},autoNegative,"Sorry, I don't know how to answer this question.",-
EXP-RANK,51292461,start over,reset,-,O,-,{},Let's start over! What type of restaurant are you looking for?,-
EXP-RANK,51292461,i'm looking for a restaurant that's good for a first date,-,-,SQ,{'name': 'Varsity'},inform,I would suggest Varsity. Came across this lovely little restaurant on its opening night . You can type 'next option' or another query.,['Came across this lovely little restaurant on its opening night .']
EXP-RANK,51292461,what kind of food does varsity serve,-,request,IRq,"{'name': 'Varsity', 'food': 'British and European'}",answer,Varsity is a restaurant that serves British and European food.,-
EXP-RANK,51292461,how much does it cost for a meal there,-,request,IRq,"{'name': 'Varsity', 'pricerange': 'cheap'}",answer,Varsity is a restaurant that is cheap.,-
EXP-RANK,51292461,next option,next,-,O,{'name': 'Navadhanya'},inform,I would suggest Navadhanya. My first review didnâ€™t appear and so I couldnâ€™t let this wonderful restaurant go without a review.,['My first review didn’t appear and so I couldn’t let this wonderful restaurant go without a review.']
EXP-RANK,51292461,is navadhanya a kind of asian food restaurant,-,inform,SQ,"{'food': 'asian oriental', 'name': 'none'}",inform,There are no restaurants that serve asian oriental food.,-
EXP-RANK,51292461,what does navadhanya serve,-,-,IRq,{},autoNegative,"Sorry, I don't know how to answer this question.",-
EXP-RANK,51292461,next option,next,-,O,{},autoNegative,"Sorry, currently we do not have any other options.",-
EXP-RANK,51292461,i want a restaurant that's good for a first date,-,-,SQ,"{'food': 'asian oriental', 'name': 'none'}",inform,There are no restaurants that serve asian oriental food.,-
EXP-RANK,51292461,start over,reset,-,O,-,{},Let's start over! What type of restaurant are you looking for?,-
EXP-RANK,51292461,what's a good italian first date restaurant,-,inform,SQ,"{'food': 'italian', 'name': ""Gattuso's Trattoria Pizzeria""}",inform,"Gattuso's Trattoria Pizzeria is a restaurant serving italian food. Two of us visited this newish Italian restaurant, where alimentum used to be. You can type 'next option' or another query.","['Two of us visited this newish Italian restaurant, where alimentum used to be.']"
EXP-RANK,51292461,next option,next,-,O,{'name': 'Zizzi - Cambridge'},inform,"How about Zizzi - Cambridge? A stranger to the city,asked a passer by where we could eat Italian food.","['A stranger to the city,asked a passer by where we could eat Italian food.']"
EXP-RANK,51292461,next option,next,-,O,{'name': 'Tradizioni'},inform,How about Tradizioni? The food was really great and if you never tried the italian food you need to come here and taste it!,['The food was really great and if you never tried the italian food you need to come here and taste it!']
EXP-RANK,51292461,how much does tradizioni cost,-,request,IRq,"{'name': 'Tradizioni', 'pricerange': 'moderate'}",answer,Tradizioni is a moderately priced restaurant.,-
EXP-RANK,51292461,what kind of italian food do they serve,-,"('inform', 'request')",IRq,"{'name': 'Tradizioni', 'food': 'Italian, Pizza, Mediterranean, Romana, Lazio and Central-Italian'}",answer,"Tradizioni is a restaurant that serves Italian, Pizza, Mediterranean, Romana, Lazio and Central-Italian food.",-
EXP-RANK,51292461,lovely! what's the address,-,request,IRq,"{'name': 'Tradizioni', 'addr': '18 The Broadway'}",answer,The address of Tradizioni is 18 The Broadway.,-
EXP-RANK,51292461,<hangup>,hangup,-,-,-,answer,<hangup>,-
EXP-RANK,57332469,"i'm looking for a place that serves great burgers. i want higher class than fast food, but i don't want to pay too much",-,-,SQ,{'name': 'Butch Annies'},inform,"I would suggest Butch Annies. Great little place tucked away in the centre of town, burgers and ribs thatâ€™s all. And they do it well. Great burger, proper home made, chips should be included but it was only a little extra for them. You can type 'next option' or another query.","['Great little place tucked away in the centre of town, burgers and ribs that’s all. And they do it well. Great burger, proper home made, chips should be included but it was only a little extra for them. Would have been nice to be able to request how well done you would like your burger cooked rare, medium etc. Rather than just getting it well done.']"
EXP-RANK,57332469,that sounds great. what other burger places are around,-,-,SQ,{'name': 'Butch Annies'},inform,I would suggest Butch Annies. If you like a burger this is the place to go! You can type 'next option' or another query.,['If you like a burger this is the place to go!']
EXP-RANK,57332469,next option,next,-,O,{'name': 'Honest Burgers Cambridge'},inform,I would suggest Honest Burgers Cambridge. So many places to choose these days for burgers. This place is great. Delicious meat beautifully cooked. Highly recommend.,['So many places to choose these days for burgers. This place is great. Delicious meat beautifully cooked. Highly recommend.']
EXP-RANK,57332469,next option,next,-,O,{'name': 'Byron Hamburgers'},inform,How about Byron Hamburgers? Well if you want a good burger and you're not sure where to try then the nearest Byron's is always a good bet.,"[""Well if you want a good burger and you're not sure where to try then the nearest Byron's is always a good bet""]"
EXP-RANK,57332469,tell me more about butch annies,-,-,IRq,{},autoNegative,"Sorry, I don't know how to answer this question.",-
EXP-RANK,57332469,what is the top rated burger place in the area,-,request,SQ,"{'name': 'Byron Hamburgers', 'area': 'centre'}",answer,Byron Hamburgers is a restaurant in the centre area.,-
EXP-RANK,57332469,<hangup>,hangup,-,-,-,answer,<hangup>,-
EXP-RANK,28082470,i would like an italian or mexican restaurant that i can celebrate my wedding anniversary at,-,inform,SQ,"{'food': 'mexican', 'name': 'Las Iguanas'}",inform,Las Iguanas is a restaurant serving mexican food. Went there for date night with my boyfriend- awesome food followed up with lovely staff members. Will definitely be returning soon. You can type 'next option' or another query.,['Went there for date night with my boyfriend- awesome food followed up with lovely staff members. Will definitely be returning soon']
EXP-RANK,28082470,cost,-,request,IRq,"{'name': 'Las Iguanas', 'pricerange': 'cheap'}",answer,Las Iguanas is a restaurant in the cheap price range.,-
EXP-RANK,28082470,any italian restaurants,-,inform,SQ,"{'food': 'italian', 'name': 'Tradizioni'}",inform,"Tradizioni is a restaurant serving italian food. Italian, Pizza, Mediterranean, Romana, Lazio, Central-Italian. You can type 'next option' or another query.","['Italian, Pizza, Mediterranean, Romana, Lazio, Central-Italian']"
EXP-RANK,28082470,cost,-,request,IRq,"{'name': 'Tradizioni', 'pricerange': 'moderate'}",answer,Tradizioni is a restaurant in the moderate price range.,-
EXP-RANK,28082470,next option,next,-,O,"{'food': 'italian', 'name': 'Zizzi - Cambridge'}",inform,"Zizzi - Cambridge is a restaurant that serves italian food. The best italian restauran in Cambridge, service by Emiliano and Umberto!!!!","['The best italian restauran in Cambridge, service by Emiliano and Umberto!!!!']"
EXP-RANK,28082470,cost,-,request,IRq,"{'name': 'Zizzi - Cambridge', 'pricerange': 'expensive'}",answer,Zizzi - Cambridge is a restaurant in the expensive price range.,-
EXP-RANK,28082470,what's the address,-,request,IRq,"{'name': 'Zizzi - Cambridge', 'addr': '47 Regent Street'}",answer,The address of Zizzi - Cambridge is 47 Regent Street.,-
EXP-RANK,28082470,<hangup>,hangup,-,-,-,answer,<hangup>,-
EXP-RANK,10252472,i want some mexican food,-,inform,SQ,"{'food': 'mexican', 'name': 'Las Iguanas'}",inform,Las Iguanas is a restaurant serving mexican food. If you want fantastic Mexican/Brazilian and Spanish food please visit this restaurant! You can type 'next option' or another query.,['If you want fantastic Mexican/Brazilian and Spanish food please visit this restaurant!']
EXP-RANK,10252472,next option,next,-,O,{'name': 'El Mexicana'},inform,"How about El Mexicana? Mexican, Fast food.","['Mexican, Fast food']"
EXP-RANK,10252472,next option,next,-,O,{'name': 'Nanna Mexico'},inform,"I would suggest Nanna Mexico. Mexican, Latin, Fast food, Central American, South American.","['Mexican, Latin, Fast food, Central American, South American']"
EXP-RANK,10252472,address,-,request,IRq,"{'name': 'Nanna Mexico', 'addr': '29 Petty Cury'}",answer,The address of Nanna Mexico is 29 Petty Cury.,-
EXP-RANK,10252472,<hangup>,hangup,-,-,-,answer,<hangup>,-
EXP-RANK,25012481,i want a chinese restaurant that is located in the city center and has a good rating,-,"('inform', 'inform')",SQ,"{'food': 'chinese', 'area': 'centre', 'name': 'Seven Days'}",inform,Seven Days is a restaurant in the centre area that serves chinese food. I write this review from a perspective of a real Chinese. My friend recommended this restaurant to me and I heard this is one of the best Chinese restaurant in Cambridge. You can type 'next option' or another query.,['I write this review from a perspective of a real Chinese. My friend recommended this restaurant to me and I heard this is one of the best Chinese restaurant in Cambridge. So I had very high expectation when I sat by the table.']
EXP-RANK,25012481,next option,next,-,O,{'name': 'Yim Wah Express'},inform,"I would suggest Yim Wah Express. I think is the best Chinese restaurant in the city!! Fresh food and good quality, you need to try! Staff is helpful and friendly.","['I think is the best Chinese restaurant in the city!! Fresh food and good quality, you need to try! Staff is helpful and friendly']"
EXP-RANK,25012481,next option,next,-,O,{'name': 'Peking Restaurant'},inform,"I would suggest Peking Restaurant. After a recent less than enjoyable experience at another local Chinese restaurant, we thought we'd give the Peking a go. And we're glad we did.","[""After a recent less than enjoyable experience at another local Chinese restaurant, we thought we'd give the Peking a go. And we're glad we did.""]"
EXP-RANK,25012481,please give me the address of seven days,-,request,IRq,"{'name': 'Peking Restaurant', 'addr': 'Unit 3, The Belvedere Homerton Street'}",answer,"The address of Peking Restaurant is Unit 3, The Belvedere Homerton Street.",-
EXP-RANK,25012481,<hangup>,hangup,-,-,-,answer,<hangup>,-
EXP-RANK,52882482,i want a good burger,-,-,SQ,{'name': 'Butch Annies'},inform,I would suggest Butch Annies. If you like a burger this is the place to go! You can type 'next option' or another query.,['If you like a burger this is the place to go!']
EXP-RANK,52882482,next,next,-,O,{'name': 'Honest Burgers Cambridge'},inform,How about Honest Burgers Cambridge? We both had fantastic burgers here.,['We both had fantastic burgers here.']
EXP-RANK,52882482,next,next,-,O,"{'name': ""Rocker's Steak House""}",inform,How about Rocker's Steak House? Proper rock atmosphere and great burgers.,['Proper rock atmosphere and great burgers.']
EXP-RANK,52882482,address honest burgers,-,request,SQ,"{'name': ""Rocker's Steak House"", 'addr': '30 Clifton way Cambridge Leisure Park'}",answer,The address of Rocker's Steak House is 30 Clifton way Cambridge Leisure Park.,-
EXP-RANK,52882482,<hangup>,hangup,-,-,-,answer,<hangup>,-
EXP-RANK,50562483,i am looking for a thai place that serves spicy food,-,inform,SQ,"{'food': 'thai', 'name': 'Thaikhun Cambridge'}",inform,Thaikhun Cambridge is a restaurant that serves thai food. This Thai restaurant has taken authentic very serious as you will find a tuk tuk parked outside the restaurant. Fortunately they also take th cooking serious as the food the usual thai dishes that are well cooked and can be enhanced by the chef if you prefer the spicy and... You can type 'next option' or another query.,['This Thai restaurant has taken authentic very serious as you will find a tuk tuk parked outside the restaurant. Fortunately they also take th cooking serious as the food the usual thai dishes that are well cooked and can be enhanced by the chef if you prefer the spicy and hotter version of Thai cuisine.']
EXP-RANK,50562483,are there any other thai places that serve authentic dishes,-,inform,SQ,"{'food': 'thai', 'name': 'Sala Thong Restaurant'}",inform,"Sala Thong Restaurant is a restaurant serving thai food. Sala tong is the real thing, serve real thai style crusine. If you miss thai this is the place to go. You can type 'next option' or another query.","['Sala tong is the real thing, serve real thai style crusine. If you miss thai this is the place to go.']"
EXP-RANK,50562483,i am really craving some fresh sushi. do you have any places near me,-,-,SQ,"{'food': 'thai', 'name': 'Thaikhun Cambridge'}",inform,"Thaikhun Cambridge is a restaurant serving thai food. Lunchtime stop for refreshments, had one special & one choice from main menu. Pad Thai & massaman curry delicious. Thai fish cakes small but tasty. Will visit again until you open in Norwich. You can type 'next option' or another query.","['Lunchtime stop for refreshments, had one special & one choice from main menu. Pad Thai & massaman curry delicious. Thai fish cakes small but tasty. Will visit again until you open in Norwich.']"
EXP-RANK,50562483,any good japanese food that serves spicy and fresh wontons,-,inform,SQ,"{'food': 'japanese', 'name': 'YO! Cambridge'}",inform,YO! Cambridge is a restaurant that serves japanese food. hot street food available authentic japanese food innovative fusion dishes watering range traditional classics natural ingredients aromatic flavours sushi rich packed mouth known fresh flavoursome also. You can type 'next option' or another query.,['hot street food available authentic japanese food innovative fusion dishes watering range traditional classics natural ingredients aromatic flavours sushi rich packed mouth known fresh flavoursome also']
EXP-RANK,50562483,what is the address of cambridge,-,request,IRq,"{'name': 'YO! Cambridge', 'addr': '1-2 Petty Cury, Lion Yard'}",answer,"The address of YO! Cambridge is 1-2 Petty Cury, Lion Yard.",-
EXP-RANK,50562483,<hangup>,hangup,-,-,-,answer,<hangup>,-
EXP-RANK,24552484,tomorrow is my birthday and i will like a restaurant that is inexpensive and nice,-,inform,SQ,"{'pricerange': 'cheap', 'name': 'Las Iguanas'}",inform,Las Iguanas is a restaurant that is cheap. We were looking for somewhere in Cambridge to have dinner for my birthday and received an email from las Iguanas offering a free main meal when another main was also bought. You can type 'next option' or another query.,['We were looking for somewhere in Cambridge to have dinner for my birthday and received an email from las Iguanas offering a free main meal when another main was also bought.']
EXP-RANK,24552484,that sound nice is there any alternative you will suggest,-,-,O,{},autoNegative,Brilliant!! How else can I help you?,-
EXP-RANK,24552484,next option,next,-,O,"{'pricerange': 'cheap', 'name': 'Varsity'}",inform,Varsity is a restaurant in the cheap price range. A good friend booked this restaurant as a birthday treat for me.,['A good friend booked this restaurant as a birthday treat for me.']
EXP-RANK,24552484,next option,next,-,O,"{'pricerange': 'cheap', 'name': 'Wildwood Restaurant'}",inform,"Wildwood Restaurant is a restaurant in the cheap price range. Celebrating my birthday and enjoyed the food, the ambience and the service at a good, competitive price. A great lunchtime treat.","['Celebrating my birthday and enjoyed the food, the ambience and the service at a good, competitive price. A great lunchtime treat.']"
EXP-RANK,24552484,"i think i will go for varsity, what is the address and the contact",-,request,IRq,"{'name': 'Wildwood Restaurant', 'addr': '27-28 Bridge Street'}",answer,The address of Wildwood Restaurant is 27-28 Bridge Street.,-
EXP-RANK,24552484,<hangup>,hangup,-,-,-,answer,<hangup>,-
EXP-RANK,26732487,place for food near me,-,-,SQ,{'name': 'Browns-Cambridge'},inform,I would suggest Browns-Cambridge. Good food................................................................................................ You can type 'next option' or another query.,['Good food................................................................................................']
EXP-RANK,26732487,find a italian restaurant,-,inform,SQ,"{'food': 'italian', 'name': 'Tradizioni'}",inform,Tradizioni is a restaurant that serves italian food. Proper Italian food. You can type 'next option' or another query.,['Proper Italian food.']
EXP-RANK,26732487,other option,next,-,O,{'name': 'Zizzi - Cambridge'},inform,"I would suggest Zizzi - Cambridge. The best italian restauran in Cambridge, service by Emiliano and Umberto!!!!","['The best italian restauran in Cambridge, service by Emiliano and Umberto!!!!']"
EXP-RANK,26732487,how many miles the restaurant from here,-,request,IRq,"{'name': 'Zizzi - Cambridge', 'area': 'centre'}",answer,Zizzi - Cambridge is a restaurant that is in the centre area.,-
EXP-RANK,26732487,what is rating of the restaurant,-,-,IRq,{},autoNegative,"Sorry, I don't know how to answer this question.",-
EXP-RANK,26732487,customer rating of the restaurant,-,-,IRq,{},autoNegative,"Sorry, I don't know how to answer this question.",-
EXP-RANK,26732487,what is address of zizzi,-,request,IRq,"{'name': 'Zizzi - Cambridge', 'addr': '47 Regent Street'}",answer,The address of Zizzi - Cambridge is 47 Regent Street.,-
EXP-RANK,26732487,what is best restuarnt near me,-,-,SQ,"{'food': 'italian', 'name': 'Carluccios - Cambridge'}",inform,Carluccios - Cambridge is a restaurant that serves italian food. This is one of the Carluccios' Best Restaurants. You can type 'next option' or another query.,"[""This is one of the Carluccios' Best Restaurants""]"
EXP-RANK,26732487,<hangup>,hangup,-,-,-,inform,<hangup>,"[""This is one of the Carluccios' Best Restaurants""]"
EXP-RANK,10182490,i want something fast,-,-,SQ,{'name': 'SmokeWorks'},inform,I would suggest SmokeWorks. Very rapid service. You can type 'next option' or another query.,['Very rapid service']
EXP-RANK,10182490,next,next,-,O,{'name': 'Pint Shop'},inform,I would suggest Pint Shop. It's new and it's buzzing!,"[""It's new and it's buzzing!""]"
EXP-RANK,10182490,address of smokeworks,-,request,IRq,"{'name': 'SmokeWorks', 'addr': '2 Free School Lane'}",answer,The address of SmokeWorks is 2 Free School Lane.,-
EXP-RANK,10182490,<hangup>,hangup,-,-,-,answer,<hangup>,-
EXP-RANK,53922494,"hi, i need a restaurant that serve chinese food and is affordable",-,inform,SQ,"{'food': 'chinese', 'name': 'Yim Wah Express'}",inform,"Yim Wah Express is a restaurant that serves chinese food. The place to go for Chinese Dim Sum. This is what I have been told, so it was about time I made a visit. You can type 'next option' or another query.","['The place to go for Chinese Dim Sum. This is what I have been told, so it was about time I made a visit.']"
EXP-RANK,53922494,next option,next,-,O,{'name': 'Seven Days'},inform,"I would suggest Seven Days. As always, nice food lovly ppls. Wat more do u expect in a restaurant than u ve ordered. PERFECT chinese restaurant id u r a big chinese dood lover.","['As always, nice food lovly ppls. Wat more do u expect in a restaurant than u ve ordered. PERFECT chinese restaurant id u r a big chinese dood lover.']"
EXP-RANK,53922494,o that sound nice,-,-,O,{},autoNegative,Great!! How else can I help you?,-
EXP-RANK,53922494, next option,-,-,O,{},autoNegative,"Sorry, I only know about restaurants.",-
EXP-RANK,53922494,what is the address of yim wah express,-,request,IRq,"{'name': 'Yim Wah Express', 'addr': '2-4 Lensfield Road'}",answer,The address of Yim Wah Express is 2-4 Lensfield Road.,-
EXP-RANK,53922494,ok can you suggest another good restaurant,-,-,SQ,"{'food': 'chinese', 'name': 'Orchid Restaurant'}",inform,Orchid Restaurant is a restaurant that serves chinese food. This restaurant has certainly left a memorable taste experience in my mouth! You can type 'next option' or another query.,['This restaurant has certainly left a memorable taste experience in my mouth!']
EXP-RANK,53922494,ok thanks,thanking,-,O,{},acceptThanking,You're welcome.,-
EXP-RANK,53922494,<hangup>,hangup,-,-,-,acceptThanking,<hangup>,-
EXP-RANK,53922494,<hangup>,hangup,-,-,-,acceptThanking,<hangup>,-
EXP-RANK,59852493,i'd like to find a restaurant that serves mexican food. i'm planning a big cinco de mayo celebration for my friends and the restaurant must serve great margaritas and tacos,-,inform,SQ,"{'food': 'mexican', 'name': 'Las Iguanas'}",inform,Las Iguanas is a restaurant serving mexican food. Fancied some Mexican food for a change so decided on Las Iguanas. It was a Saturday night and the place was jumping with several hen and birthday parties in progress. You can type 'next option' or another query.,['Fancied some Mexican food for a change so decided on Las Iguanas. It was a Saturday night and the place was jumping with several hen and birthday parties in progress. Nevertheless the staff kept tsunami waves of food coming out of the kitchen. The food and cocktails were good and the service did their best to keep up.']
EXP-RANK,59852493,great. can you recommend a mexican restaurant that's on the cheaper side,-,"('inform', 'inform')",SQ,"{'food': 'mexican', 'pricerange': 'cheap', 'name': 'Las Iguanas'}",inform,Las Iguanas is a cheap restaurant that serves mexican food. If you want fantastic Mexican/Brazilian and Spanish food please visit this restaurant! You can type 'next option' or another query.,['If you want fantastic Mexican/Brazilian and Spanish food please visit this restaurant!']
EXP-RANK,59852493,"besides las iguanas, are there any other cheap mexican restaurants",-,"('inform', 'inform')",SQ,"{'food': 'mexican', 'pricerange': 'cheap', 'name': 'Las Iguanas'}",inform,"Las Iguanas is a cheap restaurant that serves mexican food. Very nice location, friendly staff, good dishes but I was expecting more tasty and larger portions, for example the fajitas had very small amount of sides to add on (cheese, sour cream, guacamole etc) and there were too many peppers and onions with not much chicken on the dishes. You can type 'next option' or another query.","['Very nice location, friendly staff, good dishes but I was expecting more tasty and larger portions, for example the fajitas had very small amount of sides to add on (cheese, sour cream, guacamole etc) and there were too many peppers and onions with not much chicken on the dishes. The cocktails were nice and the cocktail offer (2 for 1) is definitely a plus. I would go again for cocktails but not sure about the food, maybe.']"
EXP-RANK,59852493,can you recommend an expensive mexican restaurant,-,"('inform', 'inform')",SQ,"{'food': 'mexican', 'pricerange': 'expensive', 'name': 'Nanna Mexico'}",inform,"Nanna Mexico is an expensive restaurant that serves mexican food. Excellent burritos, i have never been to Mexico and cannot compare to that. You can type 'next option' or another query.","['Excellent burritos, i have never been to Mexico and cannot compare to that.']"
